URL,名称,住所,最寄駅,施工年月,市区,lat,lng
https://db.self-in.com/mansion/1397085.html,ファーネスト博多ヴァリス,福岡県福岡市博多区東那珂3丁目5番,['西鉄「東那珂」バス停より 徒歩2分'],2021-5,福岡市博多区,33.5748709,130.4443117
https://db.self-in.com/mansion/1423260.html,ネストピア東比恵駅前II,福岡県福岡市博多区東比恵1丁目3番5号,"['東比恵駅より 徒歩4分', '博多駅より 徒歩9分']",2021-3,福岡市博多区,33.5903731,130.42825
https://db.self-in.com/mansion/1423282.html,ネストピア博多ガーデン,福岡県福岡市博多区千代1丁目33番10号,"['吉塚駅より 徒歩5分', '千代県庁口駅より 徒歩9分']",2021-3,福岡市博多区,33.6033033,130.4219953
https://db.self-in.com/mansion/1423105.html,アソシアテラス博多,福岡県福岡市博多区豊1丁目8番17号,['西鉄バス「東光二丁目」バス停より 徒歩6分'],2021-2,福岡市博多区,33.5956574,130.4311489
https://db.self-in.com/mansion/1422997.html,クリオ ラベルヴィ呉服町ウエスト,福岡県福岡市博多区下呉服町4番22,"['呉服町駅より 徒歩6分', '中洲川端駅より 徒歩11分', '西鉄バス「蔵本（博多小前）」バス停より 徒歩4分']",2020-11,福岡市博多区,33.6013603,130.406802
https://db.self-in.com/mansion/1424257.html,サヴォイラ・ピエルサフィール,福岡県福岡市博多区美野島2丁目31番21号,"['西鉄平尾駅より 徒歩15分', '渡辺通駅より 徒歩19分']",2020-7,福岡市博多区,33.5772953,130.4161321
https://db.self-in.com/mansion/1422838.html,クリオラベルヴィ呉服町イースト,福岡県福岡市博多区下呉服町6番3号,"['呉服町駅より 徒歩6分', '中洲川端駅より 徒歩11分', '西鉄バス「蔵本（博多小前）」バス停より 徒歩3分']",2020-7,福岡市博多区,33.6011314,130.4074147
https://db.self-in.com/mansion/1633548.html,LANDIC Y１３８,福岡県福岡市博多区吉塚1丁目38番29号,"['吉塚駅より 徒歩15分', '博多駅より 徒歩15分']",2020-6,福岡市博多区,33.5997299,130.4253675
https://db.self-in.com/mansion/1381529.html,サングレート博多ロイヤルレクシア,福岡県福岡市博多区那珂4丁目8番21号,"['竹下駅より 徒歩21分', '西鉄「板付団地第一」バス停より 徒歩3分']",2020-3,福岡市博多区,33.5687262,130.4480427
https://db.self-in.com/mansion/1422815.html,ネストピア東比恵駅前,福岡県福岡市博多区東比恵2丁目15番24号,['東比恵駅より 徒歩2分'],2020-3,福岡市博多区,33.59001629999999,130.4298448
https://db.self-in.com/mansion/1442002.html,エンクレスト呉服町,福岡県福岡市博多区下呉服町3番23号,"['呉服町駅より 徒歩5分', '西鉄バス「蔵本」バス停より 徒歩4分']",2020-1,福岡市博多区,33.6004153,130.4079105
https://db.self-in.com/mansion/774661.html,クリオラベルヴィ博多,福岡県福岡市博多区比恵町13番9号,"['東比恵駅より 徒歩4分', '博多駅より 徒歩12分', '博多駅より 徒歩13分']",2019-10,福岡市博多区,33.5863905,130.4309599
https://db.self-in.com/mansion/1390418.html,アルファシオ レヴァーク,福岡県福岡市博多区半道橋1丁目18番6号,['東比恵駅より 徒歩18分'],2019-10,福岡市博多区,33.5798736,130.4408987
https://db.self-in.com/mansion/1397162.html,エンクレストベイ天神EAST,福岡県福岡市博多区築港本町5番21号,"['中洲川端駅より 徒歩13分', '西鉄バス「築港本町」バス停より 徒歩2分']",2019-9,福岡市博多区,33.6003606,130.3998868
https://db.self-in.com/mansion/780219.html,プレサンスロジェ博多駅北,福岡県福岡市博多区吉塚3丁目16番12号,"['吉塚駅より 徒歩13分', '東比恵駅より 徒歩16分', '博多駅より 徒歩21分']",2019-9,福岡市博多区,33.5997838,130.4304723
https://db.self-in.com/mansion/778836.html,アルファステイツ笹原駅,福岡県福岡市博多区諸岡5丁目16番17号,"['笹原駅より 徒歩2分', '井尻駅より 徒歩10分', '「笹原」バス停より 徒歩1分']",2019-8,福岡市博多区,33.5532483,130.4504618
https://db.self-in.com/mansion/779988.html,ファーネスト春日原ルクシア,福岡県福岡市博多区西春町4丁目3番15号,"['春日原駅より 徒歩7分', '春日駅より 徒歩8分']",2019-8,福岡市博多区,33.5396777,130.4689171
https://db.self-in.com/mansion/1397990.html,エンクレスト天神LARK,福岡県福岡市博多区対馬小路2番5号,"['中洲川端駅より 徒歩8分', '西鉄バス「対馬小路」バス停より 徒歩3分']",2019-8,福岡市博多区,33.5987959,130.4023359
https://db.self-in.com/mansion/1412308.html,オーヴィジョン博多古門戸,福岡県福岡市博多区古門戸町8番12号,['西鉄バス「神屋町バス停」バス停より 徒歩7分'],2019-7,福岡市博多区,33.5984588,130.4025362
